NomeListino;CifraIn;CifraOut;Margine;Settore;CostoTrasp;CostoTraspBo;TipoListForn;Note;ID;Chiusura
STD;230.01;270.00;15.00;MotoScooter;0.00;0.00;72H;null;168;0x00000001C1AD1F36
STD;270.01;300.00;35.00;Vettura;4.70;3.00;24H;null;169;0x00000001FEB35431
STD;270.01;300.00;35.00;Vettura;4.70;3.00;48H;null;170;0x00000001FEB35432
STD;270.01;300.00;35.00;Vettura;0.00;0.00;72H;null;171;0x000000020DF4F15E
STD;270.01;300.00;15.00;MotoScooter;7.50;4.00;24H;null;172;0x00000001C1AD1F3A
STD;270.01;300.00;15.00;MotoScooter;7.50;4.00;48H;null;173;0x00000001C1AD1F3B
STD;270.01;300.00;15.00;MotoScooter;0.00;0.00;72H;null;174;0x00000001C1AD1F3C
STD;300.01;9999.00;40.00;Vettura;4.70;3.00;24H;null;175;0x000000020DF4F164
STD;300.01;9999.00;40.00;Vettura;4.70;3.00;48H;null;176;0x000000020DF4F165
STD;300.01;9999.00;40.00;Vettura;0.00;0.00;72H;null;177;0x000000020DF4F166
STD;300.01;9999.00;15.00;MotoScooter;7.50;4.00;24H;null;178;0x00000001C1AD1F40
STD;300.01;9999.00;15.00;MotoScooter;7.50;4.00;48H;null;179;0x00000001C1AD1F41
STD;300.01;9999.00;15.00;MotoScooter;0.00;0.00;72H;null;180;0x00000001C1AD1F42
TOP;0.00;30.00;4.00;Vettura;4.70;3.00;24H;null;181;0x0000000368063C9D
TOP;0.00;30.00;4.00;Vettura;4.70;3.00;48H;null;182;0x0000000368063C9F
TOP;0.00;30.00;4.00;Vettura;0.00;0.00;72H;null;183;0x0000000368063CA1
TOP;0.00;30.00;5.00;MotoScooter;7.50;4.00;24H;null;184;0x0000000368063C96
TOP;0.00;30.00;5.00;MotoScooter;7.50;4.00;48H;null;185;0x0000000368063C99
TOP;0.00;30.00;4.00;MotoScooter;0.00;0.00;72H;null;186;0x0000000368063C9A
TOP;0.00;223.00;30.00;Autocarro;13.00;7.00;24H;null;187;0x0000000368063C91
TOP;0.00;223.00;20.00;Autocarro;13.00;7.00;48H;null;188;0x00000001C1AD1F4A
TOP;0.00;223.00;10.00;Autocarro;0.00;0.00;72H;null;189;0x00000001C1AD1F4B
TOP;30.01;40.00;5.00;Vettura;4.70;3.00;24H;null;190;0x0000000368063CAE
TOP;30.01;40.00;5.00;Vettura;4.70;3.00;48H;null;191;0x0000000368063CB1
TOP;30.01;40.00;5.00;Vettura;0.00;0.00;72H;null;192;0x0000000368063CB4
TOP;30.01;40.00;5.00;MotoScooter;7.50;4.00;24H;null;193;0x0000000368063CA4
TOP;30.01;40.00;5.00;MotoScooter;7.50;4.00;48H;null;194;0x0000000368063CA5
TOP;30.01;40.00;5.00;MotoScooter;0.00;0.00;72H;null;195;0x0000000368063CA6
TOP;40.01;50.00;6.00;Vettura;4.70;3.00;24H;null;196;0x0000000368063CC6
TOP;40.01;50.00;6.00;Vettura;4.70;3.00;48H;null;197;0x0000000368063CC9
TOP;40.01;50.00;6.00;Vettura;0.00;0.00;72H;null;198;0x0000000368063CCC
TOP;40.01;50.00;6.00;MotoScooter;7.50;4.00;24H;null;199;0x0000000368063CBA
TOP;40.01;50.00;6.00;MotoScooter;7.50;4.00;48H;null;200;0x0000000368063CBD
TOP;40.01;50.00;6.00;MotoScooter;0.00;0.00;72H;null;201;0x0000000368063CC0
TOP;50.01;60.00;6.00;Vettura;4.70;3.00;24H;null;202;0x00000001FEB3543B
TOP;50.01;60.00;6.00;Vettura;4.70;3.00;48H;null;203;0x00000001FEB3543C
TOP;50.01;60.00;6.00;Vettura;0.00;0.00;72H;null;204;0x00000001D198AAF4
TOP;50.01;60.00;6.00;MotoScooter;7.50;4.00;24H;null;205;0x000000020DF4F0E6
TOP;50.01;60.00;6.00;MotoScooter;7.50;4.00;48H;null;206;0x000000020DF4F0E7
TOP;50.01;60.00;6.00;MotoScooter;0.00;0.00;72H;null;207;0x000000020DF4F0E8
TOP;60.01;75.00;7.50;Vettura;4.70;3.00;24H;null;208;0x000000027275B239
TOP;60.01;75.00;7.50;Vettura;4.70;3.00;48H;null;209;0x000000027275B23A
TOP;60.01;75.00;7.50;Vettura;0.00;0.00;72H;null;210;0x000000027275B23B
TOP;60.01;75.00;7.00;MotoScooter;7.50;4.00;24H;null;211;0x000000025EF3FB11
TOP;60.01;75.00;7.00;MotoScooter;7.50;4.00;48H;null;212;0x000000025EF3FB12
TOP;60.01;75.00;7.00;MotoScooter;0.00;0.00;72H;null;213;0x000000025EF3FB13
TOP;75.01;90.00;9.00;Vettura;4.70;3.00;24H;null;214;0x00000001FEB3543F
TOP;75.01;90.00;9.00;Vettura;4.70;3.00;48H;null;215;0x00000001FEB35440
TOP;75.01;90.00;9.00;Vettura;0.00;0.00;72H;null;216;0x00000001DF7636D3
TOP;75.01;90.00;8.00;MotoScooter;7.50;4.00;24H;null;217;0x000000020DF4F106
TOP;75.01;90.00;8.00;MotoScooter;7.50;4.00;48H;null;218;0x000000020DF4F107
TOP;75.01;90.00;8.00;MotoScooter;0.00;0.00;72H;null;219;0x000000020DF4F108
TOP;90.01;110.00;11.00;Vettura;4.70;3.00;24H;null;220;0x00000001FEB35441
TOP;90.01;110.00;11.00;Vettura;4.70;3.00;48H;null;221;0x00000001FEB35442
TOP;90.01;110.00;11.00;Vettura;0.00;0.00;72H;null;222;0x00000001DF7636D5
TOP;90.01;110.00;10.00;MotoScooter;7.50;4.00;24H;null;223;0x000000020DF4F119
TOP;90.01;110.00;10.00;MotoScooter;7.50;4.00;48H;null;224;0x000000020DF4F11A
TOP;90.01;110.00;10.00;MotoScooter;0.00;0.00;72H;null;225;0x000000020DF4F11B
TOP;110.01;130.00;12.00;Vettura;4.70;3.00;24H;null;226;0x00000001FEB35443
TOP;110.01;130.00;12.00;Vettura;4.70;3.00;48H;null;227;0x00000001FEB35444
TOP;110.01;130.00;12.00;Vettura;0.00;0.00;72H;null;228;0x00000001DF7636D8
TOP;110.01;130.00;11.00;MotoScooter;7.50;4.00;24H;null;229;0x000000020DF4F130
TOP;110.01;130.00;11.00;MotoScooter;7.50;4.00;48H;null;230;0x000000020DF4F131
TOP;110.01;130.00;11.00;MotoScooter;0.00;0.00;72H;null;231;0x000000020DF4F132
TOP;130.01;160.00;14.00;Vettura;4.70;3.00;24H;null;232;0x00000001FEB35445
TOP;130.01;160.00;14.00;Vettura;4.70;3.00;48H;null;233;0x00000001FEB35446
TOP;130.01;160.00;14.00;Vettura;0.00;0.00;72H;null;234;0x00000001DF7636DC
TOP;130.01;160.00;11.00;MotoScooter;7.50;4.00;24H;null;235;0x000000020DF4F135
TOP;130.01;160.00;11.00;MotoScooter;7.50;4.00;48H;null;236;0x000000020DF4F136
TOP;130.01;160.00;11.00;MotoScooter;0.00;0.00;72H;null;237;0x000000020DF4F137
TOP;160.01;190.00;16.00;Vettura;4.70;3.00;24H;null;238;0x00000001FEB35447
TOP;160.01;190.00;16.00;Vettura;4.70;3.00;48H;null;239;0x00000001FEB35448
TOP;160.01;190.00;16.00;Vettura;0.00;0.00;72H;null;240;0x00000001DF7636DF
TOP;160.01;190.00;11.00;MotoScooter;7.50;4.00;24H;null;241;0x000000020DF4F141
TOP;160.01;190.00;11.00;MotoScooter;7.50;4.00;48H;null;242;0x000000020DF4F142
TOP;160.01;190.00;11.00;MotoScooter;0.00;0.00;72H;null;243;0x000000020DF4F143
TOP;190.01;230.00;17.00;Vettura;4.70;3.00;24H;null;244;0x00000001FEB35449
TOP;190.01;230.00;17.00;Vettura;4.70;3.00;48H;null;245;0x00000001FEB3544A
TOP;190.01;230.00;17.00;Vettura;0.00;0.00;72H;null;246;0x00000001DF7636E2
TOP;190.01;230.00;11.00;MotoScooter;7.50;4.00;24H;null;247;0x00000001C1AD1F85
TOP;190.01;230.00;11.00;MotoScooter;7.50;4.00;48H;null;248;0x00000001C1AD1F86
TOP;190.01;230.00;11.00;MotoScooter;0.00;0.00;72H;null;249;0x00000001C1AD1F87
TOP;224.00;260.00;40.00;Autocarro;13.00;7.00;24H;null;250;0x00000001CA94E48F
TOP;224.00;260.00;40.00;Autocarro;13.00;7.00;48H;null;251;0x00000001CEC64AEE
TOP;224.00;260.00;20.00;Autocarro;0.00;0.00;72H;null;252;0x000000020DF4F158
TOP;230.01;270.00;18.00;Vettura;4.70;3.00;24H;null;253;0x00000001FEB3544B
TOP;230.01;270.00;18.00;Vettura;4.70;3.00;48H;null;254;0x00000001FEB3544C
TOP;230.01;270.00;18.00;Vettura;0.00;0.00;72H;null;255;0x00000001DF7636E5
TOP;230.01;270.00;11.00;MotoScooter;7.50;4.00;24H;null;256;0x00000001C1AD1F8E
TOP;230.01;270.00;11.00;MotoScooter;7.50;4.00;48H;null;257;0x00000001C1AD1F8F
TOP;230.01;270.00;11.00;MotoScooter;0.00;0.00;72H;null;258;0x00000001C1AD1F90
TOP;270.01;300.00;20.00;Vettura;4.70;3.00;24H;null;259;0x000000020DF4F169
TOP;270.01;300.00;20.00;Vettura;4.70;3.00;48H;null;260;0x000000020DF4F16A
TOP;270.01;300.00;20.00;Vettura;0.00;0.00;72H;null;261;0x000000020DF4F16B
TOP;270.01;300.00;11.00;MotoScooter;7.50;4.00;24H;null;262;0x00000001C1AD1F94
TOP;270.01;300.00;11.00;MotoScooter;7.50;4.00;48H;null;263;0x00000001C1AD1F95
