NomeListino;CifraIn;CifraOut;Margine;Marg+;Marg-;Settore;CostoTrasportoIt;ProvvPiatt;TipoListForn;Chiusura;Id;Marg-Estivo;Marg-AS;Marg-Invernale
TYRE24;50.01;60.00;9.00;0.00;3.00;Vettura;0.00;1.30;72H;0x00000006948B6654;134;0.00;0.00;0.00
TYRE24;60.01;75.00;12.50;0.00;5.00;Vettura;0.00;1.30;72H;0x00000006948B6655;135;0.00;0.00;0.00
TYRE24;75.01;90.00;14.00;0.00;5.00;Vettura;0.00;1.30;72H;0x00000006948B6656;136;0.00;0.00;0.00
TYRE24;90.01;110.00;16.00;0.00;5.00;Vettura;0.00;1.30;72H;0x00000006948B6657;137;0.00;0.00;0.00
TYRE24;110.01;130.00;18.00;0.00;5.00;Vettura;0.00;1.30;72H;0x00000006948B6658;138;0.00;0.00;0.00
TYRE24;130.01;160.00;23.00;0.00;7.00;Vettura;0.00;1.30;72H;0x00000006948B6659;139;0.00;0.00;0.00
TYRE24;160.01;190.00;29.00;0.00;10.00;Vettura;0.00;1.30;72H;0x00000006948B665A;140;0.00;0.00;0.00
TYRE24;190.01;230.00;33.00;0.00;10.00;Vettura;0.00;1.30;72H;0x00000006948B665B;141;0.00;0.00;0.00
TYRE24;230.01;270.00;35.00;0.00;10.00;Vettura;0.00;1.30;72H;0x00000006948B665C;142;0.00;0.00;0.00
TYRE24;270.01;300.00;35.00;0.00;10.00;Vettura;0.00;1.30;72H;0x00000006948B665D;143;0.00;0.00;0.00
TYRE24;300.01;9999.00;35.00;0.00;10.00;Vettura;0.00;1.30;72H;0x00000006948B665E;144;0.00;0.00;0.00
TYRE24;0.00;223.00;20.00;0.00;0.00;Autocarro;0.00;1.30;72H;0x00000006948B665F;145;0.00;0.00;0.00
TYRE24;224.00;260.00;25.00;0.00;0.00;Autocarro;0.00;1.30;72H;0x00000006948B6660;146;0.00;0.00;0.00
TYRE24;0.00;30.00;5.50;0.00;2.00;Vettura;4.40;1.30;72H_CST;0x00000006948B6661;312;0.00;0.00;0.00
TYRE24;30.01;40.00;6.50;0.00;2.50;Vettura;4.40;1.30;72H_CST;0x00000006948B6662;313;0.00;0.00;0.00
TYRE24;40.01;50.00;8.50;0.00;3.00;Vettura;4.40;1.30;72H_CST;0x00000006948B6663;314;0.00;0.00;0.00
TYRE24;50.01;60.00;9.00;0.00;3.00;Vettura;4.40;1.30;72H_CST;0x00000006948B6664;315;0.00;0.00;0.00
TYRE24;60.01;75.00;12.50;0.00;3.00;Vettura;4.40;1.30;72H_CST;0x00000006948B6665;316;0.00;0.00;0.00
TYRE24;75.01;90.00;14.00;0.00;5.00;Vettura;4.40;1.30;72H_CST;0x00000006948B6666;317;0.00;0.00;0.00
TYRE24;90.01;110.00;16.00;0.00;5.00;Vettura;4.40;1.30;72H_CST;0x00000006948B6667;318;0.00;0.00;0.00
TYRE24;110.01;130.00;18.00;0.00;5.00;Vettura;4.40;1.30;72H_CST;0x00000006948B6668;319;0.00;0.00;0.00
TYRE24;130.01;160.00;23.00;0.00;5.00;Vettura;4.40;1.30;72H_CST;0x00000006948B6669;320;0.00;0.00;0.00
TYRE24;160.01;190.00;29.00;0.00;7.00;Vettura;4.40;1.30;72H_CST;0x00000006948B666A;321;0.00;0.00;0.00
TYRE24;190.01;230.00;33.00;0.00;10.00;Vettura;4.40;1.30;72H_CST;0x00000006948B666B;322;0.00;0.00;0.00
TYRE24;230.01;270.00;35.00;0.00;10.00;Vettura;4.40;1.30;72H_CST;0x00000006948B666C;323;0.00;0.00;0.00
TYRE24;270.01;300.00;35.00;0.00;10.00;Vettura;4.40;1.30;72H_CST;0x00000006948B666D;324;0.00;0.00;0.00
TYRE24;300.01;9999.00;35.00;0.00;10.00;Vettura;4.40;1.30;72H_CST;0x00000006948B666E;325;0.00;0.00;0.00
TYRE24;0.00;223.00;25.00;0.00;0.00;Autocarro;13.00;1.30;72H_CST;0x00000006948B666F;326;0.00;0.00;0.00
TYRE24;224.00;260.00;35.00;0.00;0.00;Autocarro;13.00;1.30;72H_CST;0x00000006948B6670;327;0.00;0.00;0.00
TYRE24;0.00;30.00;7.00;0.00;3.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B6671;328;0.00;0.00;0.00
TYRE24;30.01;40.00;8.00;0.00;3.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B6672;329;0.00;0.00;0.00
TYRE24;40.01;50.00;8.50;0.00;3.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B6673;330;0.00;0.00;0.00
TYRE24;50.01;60.00;10.00;0.00;3.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B6674;331;0.00;0.00;0.00
TYRE24;60.01;75.00;11.00;0.00;3.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B6675;332;0.00;0.00;0.00
TYRE24;75.01;90.00;13.00;0.00;4.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B6676;333;0.00;0.00;0.00
TYRE24;90.01;110.00;15.00;0.00;4.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B6677;334;0.00;0.00;0.00
TYRE24;110.01;130.00;17.00;0.00;4.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B6678;335;0.00;0.00;0.00
TYRE24;130.01;160.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B6679;336;0.00;0.00;0.00
TYRE24;160.01;190.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B667A;337;0.00;0.00;0.00
TYRE24;190.01;230.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B667B;338;0.00;0.00;0.00
TYRE24;230.01;270.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B667C;339;0.00;0.00;0.00
TYRE24;270.01;300.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B667D;340;0.00;0.00;0.00
TYRE24;300.01;9999.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;72H_CST;0x00000006948B667E;341;0.00;0.00;0.00
