Codice;Descr;NostroPrezzo;MigliorPrezzo;Posizione;Differenza;PrezzoPer1Pos;PrezzoPiattOffSpec;PrezzoAcq;PrezzoMinimo;PrezzoMassimo;RicaricoCalcolato;Nota;PrezzoRicalcolato;MargineLimite;TipoRegola;Ranking;IdArtico;IdTyre24;IdOfferteSpec
1507017-CON-0244711           ;CONTINEN RO-AT4 150/70 R17 69 V TL                                                                  ;149,24;126,51;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;799593              ;null
1507017-DUN-630378            ;DUN. 150/70 B17 69 V TL STREET SMART                                                                ;140,99;89,48;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;241097              ;null
1507017-DUN-634399            ;DUN. 150/70ZR17 69 W TL SPORTMAX                                                                    ;116,45;89,72;24.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;339716              ;null
1507017-DUN-636090            ;DUNLOP GT601 150/70 -17 69 H TL                                                                     ;104,09;82,76;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;618727              ;null
1507017-DUN-636387            ;DUNLOP MERIDIAN 150/70 R17 69 V TL                                                                  ;128,23;103,44;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;682999              ;null
1507017-DUN-637494            ;DUN. 150/70ZR17 (69W) TL MUTANT                                                                     ;136,24;101,51;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;757746              ;null
1507017-DUN-637605            ;DUNLOP RAID 150/70 R17 69 T TL                                                                      ;137,59;107,58;29.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;802250              ;null
1507017-DUN-637828            ;DUN 150/70 R17 69 V TL TRAILMAX MIXTOUR                                                             ;111,97;84,27;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;757804              ;null
1507017-MET-3142800           ;MET. 150/70 R17 69 V TL KAROO STREET                                                                ;119,46;96,14;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;621028              ;null
1507017-MET-4334500           ;METZELER RTEC02 150/70 R17 69V TL                                                                   ;171,86;129,89;28.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;835715              ;null
1507017-MET-4436200           ;MET. 150/70 -17 69T TL KAROO 4                                                                      ;123,72;100,28;17.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;839882              ;null
1507017-MIC-003853            ;MIC. 150/70 B17 69 V TL ROAD CLASSIC                                                                ;124,98;96,86;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;727687              ;null
1507017-MIC-236462            ;MIC. 150/70ZR17 (69W) TL PIL-ROAD5                                                                  ;119,57;99,61;25.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;613091              ;null
1507017-MIC-279964            ;MICHELIN A-ROAD 150/70 R17 69V TL/TT                                                                ;132,62;107,9;28.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;835727              ;null
1507017-MIC-313146            ;MICHELIN ROAD-6 150/70ZR17 (69W) TL                                                                 ;139,19;108,56;30.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;753831              ;null
1507017-MIC-393291            ;MIC. 150/70ZR17 69 W TL SCORCHER 11 REAR                                                            ;192,85;159,18;21.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;334588              ;null
