Codice;Descr;NostroPrezzo;MigliorPrezzo;Posizione;Differenza;PrezzoPer1Pos;PrezzoPiattOffSpec;PrezzoAcq;PrezzoMinimo;PrezzoMassimo;RicaricoCalcolato;Nota;PrezzoRicalcolato;MargineLimite;TipoRegola;Ranking;IdArtico;IdTyre24;IdOfferteSpec
1755013-NAN-JD422             ;NANKANG AR-1 175/50 R13 72 V                                                                        ;142,93;142,84;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;816769              ;null
1755015-FAL-336779            ;FALKEN SN110 175/50 R15 75 H                                                                        ;65,95;51,22;28.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;695622              ;null
1755015-HAN-1030970           ;HANKOOK W462 175/50 R15 79 H XL                                                                     ;68,25;50,7;28.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;787420              ;null
1755015-KUM-U2184063          ;KUMHO WP51 175/50 R15 75 H                                                                          ;53,98;40,41;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;322700              ;null
1755015-NAN-JD881             ;NANKANG SP9 175/50 R15 75 H                                                                         ;56,24;51,18;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;873319              ;null
1755015-OVA-69539131          ;OVATION VI-388 175/50 R15 75 V                                                                      ;45,38;37,25;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;796258              ;null
1755015-RDM-3ERM615           ;ROADMARC STAR66 175/50 R15 75 H                                                                     ;35,55;34,47;3.(1Pz)   ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;814462              ;null
1755015-VRE-VR505256          ;VREDEST. ULTRAC 175/50 R15 75 H                                                                     ;80,36;59,64;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;727224              ;null
1755016-YOK-08884331          ;YOKOHAMA SDRIVE 175/50 R16 77 T                                                                     ;92,5;68,1;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;692580              ;null
1755515-APL-2AP2146H          ;A-PLUS A701 175/55 R15 77 T                                                                         ;49,89;30,13;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;749286              ;null
1755515-CON-0312313           ;CONTINEN ULT-CO 175/55 R15 77 T                                                                     ;94,66;82;25.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;758499              ;null
1755515-CON-0352889           ;CONTI ECO-3 175/55 R15 77 T                                                                         ;95,74;79,5;24.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;42477               ;null
1755515-CON-0352890           ;CONTI PR-CO2 175/55 R15 77 T                                                                        ;93,79;87,07;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;42478               ;null
1755515-CON-0353249           ;CONTI TS 800 175/55 R15 77 T                                                                        ;122,08;92,92;20.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;40395               ;null
1755515-CON-0355488           ;CONTI ALLSEA 175/55 R15 77 T                                                                        ;88,71;70,12;34.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;710007              ;null
1755515-EV1-32290010          ;EVERGREE EH23 175/55 R15 77 T                                                                       ;45,2;45,01;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;719476              ;null
1755515-FAL-332593            ;FALKEN AS210 175/55 R15 77 T                                                                        ;67,24;55,19;28.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;636732              ;null
1755515-FAL-336773            ;FALKEN SN110 175/55 R15 77 T                                                                        ;64,17;50;28.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;695601              ;null
1755515-FUL-518662            ;FULDA ECONTR 175/55 R15 77 T                                                                        ;58,87;45,56;20.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;42351               ;null
1755515-HAN-1024944           ;HANKOOK H750 175/55 R15 77 T                                                                        ;71,08;54,58;41.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;672613              ;null
1755515-KLE-001955            ;KLEBER QUAD-3 175/55 R15 77 H                                                                       ;68,45;59,79;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;771750              ;null
1755515-KUM-2179863           ;KUMHO KH27 175/55 R15 77 T                                                                          ;57,41;43,69;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;312016              ;null
1755515-KUM-U2184013          ;KUMHO WP51 175/55 R15 77 T                                                                          ;65,47;52;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;322056              ;null
1755515-MAX-42301660          ;MAXXIS AP2-AS 175/55 R15 77 T                                                                       ;55,44;52,97;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;326379              ;null
1755515-MAX-42301705          ;MAXXIS ARCTIC 175/55 R15 77 T                                                                       ;64,39;50,15;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;291536              ;null
1755515-MAX-ETP02129          ;MAXXIS ME3 175/55 R15 77 T                                                                          ;47,45;40,75;5.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;606580              ;null
1755515-NAN-JC355             ;NANKANG N607+ 175/55 R15 77 H                                                                       ;45,09;34,81;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;646665              ;null
1755515-NEX-19314NXC          ;NEXEN NBLUES 175/55 R15 77 T                                                                        ;58,24;50,18;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;883679              ;null
1755515-RDM-3ERM605           ;ROADMAR. WI-888 175/55 R15 77 H                                                                     ;35,92;34,89;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;781172              ;null
1755515-SLU-SAI0462           ;SAILUN ATR-4S 175/55 R15 77 T                                                                       ;51,64;37,79;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;723226              ;null
1755515-SUF-201S2096          ;SUNFULL SF-688 175/55 R15 77 T                                                                      ;41,72;39,04;4.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;345565              ;null
1755515-SUF-500S1053          ;SUNFULL SF-983 175/55 R15 77 T                                                                      ;44,4;41,17;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;772139              ;null
1755515-TOY-3875400           ;TOYO CE-AS2 175/55 R15 77 T                                                                         ;55;46,82;7.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;778755              ;null
1755515-TRA-TR1504            ;TRACMAX S-130 175/55 R15 77 T                                                                       ;52,93;48,43;5.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;678074              ;null
1755515-UNI-0363384           ;UNIROYAL AL-EX2 175/55 R15 77 T                                                                     ;69,24;54,24;24.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;742002              ;null
1755515-YOK-08629901          ;YOKOHAMA ES32 175/55 R15 77 V                                                                       ;70,14;63,39;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;384127              ;null
1755520-BRI-7853              ;BRIDGEST EP500 175/55 R20 89 Q XL                                                                   ;109,75;89,21;25.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;350934              ;null
1755520-CON-0313869           ;CONTI ECO-6 175/55 R20 85 Q                                                                         ;133,57;113,61;18.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;818191              ;null
1755520-MIC-379276            ;MICHELIN E-PRIM 175/55 R20 89 Q XL                                                                  ;133,33;107,41;29.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;741915              ;null
1756014-HAN-1013500           ;HANKOOK W442 175/60 R14 79 T                                                                        ;64,23;59,58;4.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;408273              ;null
1756014-HAN-1022720           ;HANKOOK K435 175/60 R14 79 H                                                                        ;65,86;59,1;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;609637              ;null
1756014-KUM-2180123           ;KUMHO KH27 175/60 R14 79 H                                                                          ;60,11;47,97;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;308301              ;null
1756014-MAX-42252520          ;MAXXIS AP2-AS 175/60 R14 79 H                                                                       ;57,84;46,02;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;313341              ;null
1756014-MIC-305673            ;MICHELIN CLIMA+ 175/60 R14 83 H                                                                     ;76,01;66,64;17.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;703190              ;null
1756014-NAN-JY132             ;NANKANG SV-2 175/60 R14 83 H XL                                                                     ;54,19;54,19;1.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;254550              ;null
1756014-NEX-16767NX           ;NEXEN N-BLUE 175/60 R14 79 H                                                                        ;58,46;50,9;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;696780              ;null
1756014-SUF-201S2114          ;SUNFULL SF-688 175/60 R14 79 H                                                                      ;43,87;36,89;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;734693              ;null
1756014-UNI-0362943           ;UNIROYAL R-EXPE 175/60 R14 79 H                                                                     ;69,74;62,02;10.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;663731              ;null
1756015-APL-2AP2147H          ;A-PLUS A701 175/60 R15 81 T                                                                         ;48;29,9;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;786572              ;null
1756015-CON-0312314           ;CONTINEN ULT-CO 175/60 R15 81 H                                                                     ;89,46;76,1;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;755051              ;null
1756015-DUN-578264            ;DUNLOP ST-RE2 175/60 R15 81 T                                                                       ;78,15;68;5.(1Pz)   ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;679992              ;null
1756015-EV1-32290052          ;EVERGREE EH226 175/60 R15 81 V                                                                      ;45,59;44,5;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;379653              ;null
1756015-FAL-336762            ;FALKEN SN110 175/60 R15 81 H                                                                        ;65,45;51,85;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;695578              ;null
1756015-FAL-353744            ;FALKEN HS02 175/60 R15 81 T                                                                         ;69,14;59,98;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;829456              ;null
1756015-FIR-11108             ;FIRESTON ROAD-H 175/60 R15 81 V                                                                     ;70,75;64;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;617595              ;null
1756015-HAN-1020971           ;HANKOOK K435 175/60 R15 81 V                                                                        ;69,23;57,92;18.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;622788              ;null
1756015-HAN-1021184           ;HANKOOK K435 175/60 R15 81 H                                                                        ;67,47;55,09;30.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;617146              ;null
1756015-HAN-1028412           ;HANKOOK W462 175/60 R15 81 H                                                                        ;69,95;58,45;19.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;775349              ;null
1756015-KLE-954906            ;KLEBER QUAD-3 175/60 R15 81 H                                                                       ;72,27;62;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;818379              ;null
1756015-KOR-449359            ;KORMORAN ALLSEA 175/60 R15 81 H                                                                     ;53,09;44,86;5.(1Pz)   ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;728986              ;null
1756015-KUM-2207693           ;KUMHO WP51 175/60 R15 81 T                                                                          ;65,14;42,72;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;363845              ;null
1756015-MAT-MA158101          ;MATADOR MP47 175/60 R15 81 H                                                                        ;72,62;55,59;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;615321              ;null
1756015-MAX-42253933          ;MAXXIS ARCTIC 175/60 R15 81 T                                                                       ;61,15;47,89;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;365069              ;null
1756015-MAX-42253940          ;MAXXIS AP2-AS 175/60 R15 81 H                                                                       ;57,4;52,77;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;310347              ;null
1756015-MAX-ETP02176          ;MAXXIS ME3 175/60 R15 81 H                                                                          ;49,21;40,47;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;647311              ;null
1756015-MIC-101938            ;MICHELIN CLIMA+ 175/60 R15 85 H                                                                     ;110,34;93,14;33.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;684537              ;null
1756015-NAN-JB528             ;NANKANG AS1 175/60 R15 81 H                                                                         ;46,02;35,88;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;657157              ;null
1756015-NEX-14095NXK          ;NEXEN N-BLUE 175/60 R15 81 H                                                                        ;54,14;38,28;29.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;668901              ;null
1756015-NEX-16763NX           ;NEXEN N-BLUE 175/60 R15 81 V                                                                        ;59,23;49,96;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;691456              ;null
1756015-NEX-19315NXC          ;NEXEN NBLUES 175/60 R15 81 H                                                                        ;56,19;50,89;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;884033              ;null
1756015-NEX-NX15025           ;NEXEN SNOW-G 175/60 R15 81 H                                                                        ;53,9;50,36;8.(1Pz)   ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;355269              ;null
1756015-NEX-NX15432           ;NEXEN N-BLUE 175/60 R15 81 V                                                                        ;56,78;44,01;25.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;375368              ;null
1756015-OVA-13153087          ;OVATION W-586 175/60 R15 81 H                                                                       ;43,2;41,77;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;291611              ;null
1756015-OVA-69539131          ;OVATION VI-682 175/60 R15 81 H                                                                      ;45,55;34,8;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;241866              ;null
1756015-RIK-817472            ;RIKEN ALLSEA 175/60 R15 81 H                                                                        ;54,01;42,43;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;750988              ;null
1756015-SUF-201S2023          ;SUNFULL SF-688 175/60 R15 81 H                                                                      ;38,78;34,99;5.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;346394              ;null
1756015-UNI-0361161           ;UNIROYAL RA-EX5 175/60 R15 81 H                                                                     ;75,8;62,54;20.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;749796              ;null
1756015-WS-5800130G           ;WESTLAKE Z107 175/60 R15 81 H                                                                       ;42,3;29,43;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;814867              ;null
1756016-FAL-336768            ;FALKEN SN110 175/60 R16 82 H                                                                        ;81,12;65,12;20.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;695588              ;null
1756016-FAL-337295            ;FALKEN AS210 175/60 R16 82 H                                                                        ;85,81;63,2;39.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;716624              ;null
1756016-FAL-353747            ;FALKEN HS02 175/60 R16 82 H                                                                         ;77,74;69,76;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;863560              ;null
1756016-GRI-GR66018           ;GRIPMAX NANO 175/60 R16 86 V XL                                                                     ;50,66;36,54;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;849770              ;null
1756016-MAX-ETP02170          ;MAXXIS ME3 175/60 R16 82 H                                                                          ;58,15;52,94;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;647315              ;null
1756016-NAN-JD352             ;NANKANG AW-6 175/60 R16 82 H                                                                        ;52,31;41,25;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;671263              ;null
1756016-NAN-JY221             ;NANKANG SV-3 175/60 R16 86 H XL                                                                     ;59,86;57,02;4.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;650003              ;null
1756016-NEX-19293NXC          ;NEXEN NBLUES 175/60 R16 82 H                                                                        ;53,14;46,92;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;882299              ;null
1756016-YOK-08884241          ;YOKOHAMA ES32 175/60 R16 82 H                                                                       ;87,42;77,73;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;384106              ;null
1756018-BRI-28896             ;BRIDGEST BLIZZ6 175/60 R18 85 V                                                                     ;139,07;111,28;25.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;862107              ;null
1756018-CON-0355818           ;CONTINEN AL-CO2 175/60 R18 85 H                                                                     ;120,06;95,68;37.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;829893              ;null
1756018-FAL-353765            ;FALKEN HS02 175/60 R18 85 H                                                                         ;105,29;87,41;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;855503              ;null
1756018-GRI-GR001639          ;GRIPMAX E-WINTER 175/60 R18 85 V                                                                    ;100,45;51;7.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;849787              ;null
1756018-GRI-GR00474           ;GRIPMAX SG-A/S 175/60 R18 85 V                                                                      ;96,24;66,89;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;852084              ;null
1756018-MIC-369196            ;MICHELIN E-PRIM 175/60 R18 85 H                                                                     ;115,8;97,25;20.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;758125              ;null
1756018-PIR-4395900           ;PIRELLI CIN-W2 175/60 R18 85 H                                                                      ;140,99;113,95;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;867112              ;null
1756019-BRI-24476             ;BRIDGEST TU-ECO 175/60 R19 90 Q XL                                                                  ;141,26;122,65;7.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;806672              ;null
1756019-BRI-6668              ;BRIDGEST EP600 175/60 R19 86 Q                                                                      ;123,22;107;13.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;324306              ;null
1756019-CON-0314114           ;CONTINEN ULT-CO 175/60 R19 86 Q                                                                     ;129,69;105,62;20.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;843891              ;null
1756019-MIC-662423            ;MICHELIN E-PRIM 175/60 R19 86 Q                                                                     ;139,71;116,69;27.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;740702              ;null
1756513-BAR-1540428           ;BARUM BRIL-2 175/65 R13 80 T                                                                        ;49,72;47;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;64258               ;null
1756513-GOO-577053            ;GOODYEAR VEC-4S 175/65 R13 80 T                                                                     ;70,48;54,89;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;675853              ;null
1756513-KUM-U2165403          ;KUMHO HA31 175/65 R13 80 T                                                                          ;57,3;35,99;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;287740              ;null
1756513-LIL-00034805          ;LINGLONG GR-ECO 175/65 R13 80 T                                                                     ;42,37;29,06;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;222843              ;null
1756513-MAX-ETP00065          ;MAXXIS ME3 175/65 R13 80 T                                                                          ;49,4;40,82;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;643850              ;null
1756513-PET-00047369          ;PETLAS PT311 175/65 R13 80 T                                                                        ;47,86;36,22;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;250307              ;null
1756513-SAV-547549            ;SAVA PERFEC 175/65 R13 80 T                                                                         ;55,88;43,97;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;648259              ;null
1756513-SLU-SAI6968           ;SAILUN WSL3+ 175/65 R13 80 T                                                                        ;49,39;42,29;5.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;681023              ;null
1756513-TAU-TA920261          ;TAURUS TOURIN 175/65 R13 80 T                                                                       ;49,38;42,99;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;670706              ;null
1756513-UNI-0362746           ;UNIROYAL RA-EX3 175/65 R13 80 T                                                                     ;73,01;50,99;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;295363              ;null
1756514-BAR-0443098           ;BARUM VANIS3 175/65 R14 90/88T                                                                      ;58,85;52,56;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;807069              ;null
1756514-BAR-1540673           ;BARUM QUA-5 175/65 R14 82 T                                                                         ;42,84;34,9;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;623666              ;null
1756514-BAR-1540962           ;BARUM BRAV-5 175/65 R14 82 T                                                                        ;43,83;37,44;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;716192              ;null
