Articolo__r:Product2:External_Id__c;Codice_fornitore__c;Descrizione_fornitore__c;Ranking_fornitore__c;Disponibile__c;Impegnato__c;In_spedizione__c;Conto_deposito_fornitore_Distribuzione__c;Conto_deposito_fornitore_pdv__c;Costo__c;Prezzo_di_listino__c;Prezzo_PDV__c;PAC__c
512414;UNI;Univergomma;6;30;0;0;0;0;70.87;106.50;108.7;57.90
525328;UNI;Univergomma;6;25;0;0;0;0;47.14;75.00;92.31;38.32
520863;UNI;Univergomma;2;30;0;0;0;0;72.36;142.50;125.97;67.71
510368;UNI;Univergomma;3;30;0;0;0;0;67.08;122.50;120.34;63.09
66301;UNI;Univergomma;2;1;0;0;0;0;66.50;122.50;120.34;63.09
66519;UNI;Univergomma;5;16;0;0;0;0;88.76;168.00;143.66;83.11
79051;UNI;Univergomma;5;30;0;0;0;0;68.53;127.50;120.82;64.39
103326;UNI;Univergomma;5;30;0;0;0;0;72.72;135.50;142.59;68.43
66539;UNI;Univergomma;3;12;0;0;0;0;94.48;179.50;167.44;88.80
64187;UNI;Univergomma;4;30;0;0;0;0;83.56;169.00;140.6;74.93
64169;UNI;Univergomma;3;15;0;0;45;0;77.60;154.50;122.12;82.24
64169;UNI;Univergomma;3;15;0;0;45;0;77.60;154.50;122.12;82.24
64169;UNI;Univergomma;3;15;0;0;45;0;77.60;154.50;122.12;82.24
64169;UNI;Univergomma;3;15;0;0;45;0;77.60;154.50;122.12;82.24
501032;UNI;Univergomma;4;30;0;0;0;0;91.01;176.50;151.03;83.48
508872;UNI;Univergomma;4;4;0;0;0;0;84.50;159.00;152.45;84.64
516984;UNI;Univergomma;5;20;1;0;0;0;107.73;189.00;167.37;96.87
516984;UNI;Univergomma;5;20;1;0;0;0;107.73;189.00;167.37;96.87
516984;UNI;Univergomma;5;20;0;0;0;0;107.73;189.00;167.37;96.87
516984;UNI;Univergomma;5;20;0;0;0;0;107.73;189.00;167.37;96.87
100008;UNI;Univergomma;2;13;0;0;0;0;92.46;165.00;146.82;84.15
63643;UNI;Univergomma;4;30;0;0;3;0;75.32;154.50;121.17;82.24
63643;UNI;Univergomma;4;30;0;0;3;0;75.32;154.50;121.17;82.24
63643;UNI;Univergomma;4;30;0;0;3;0;75.32;154.50;121.17;82.24
63643;UNI;Univergomma;4;30;0;0;3;0;75.32;154.50;121.17;82.24
521094;UNI;Univergomma;5;25;0;0;0;0;109.93;216.00;173.8;102.14
58983;UNI;Univergomma;3;1;0;0;0;0;108.67;213.00;203.43;104.79
508495;UNI;Univergomma;4;4;0;0;0;0;105.42;207.00;177.02;102.40
508481;UNI;Univergomma;4;30;0;0;0;0;85.95;163.00;141.75;80.64
516413;UNI;Univergomma;1;3;0;0;0;0;63.33;118.50;0;0.00
508496;UNI;Univergomma;5;12;0;0;0;0;85.07;161.50;140.83;79.89
519040;UNI;Univergomma;1;29;0;0;0;0;71.07;143.50;134.4;74.62
516414;UNI;Univergomma;6;30;0;0;0;0;67.77;126.50;114.42;60.11
516414;UNI;Univergomma;6;30;0;0;0;0;67.77;126.50;114.42;60.11
516414;UNI;Univergomma;6;30;0;0;0;0;67.77;126.50;114.42;60.11
516414;UNI;Univergomma;6;30;0;0;0;0;67.77;126.50;114.42;60.11
516414;UNI;Univergomma;6;30;0;0;0;0;67.77;126.50;114.42;60.11
516414;UNI;Univergomma;6;30;0;0;0;0;67.77;126.50;114.42;60.11
