IDARTICO;QTTN;PdvUltImp;DataUltImp
525908;0;null;null
604670;0;null;null
501177;0;null;null
582994;0;null;null
596753;0;null;null
591383;0;null;null
605341;0;null;null
606591;0;null;null
586072;0;null;null
501290;0;null;null
510032;0;null;null
589221;0;null;null
598978;0;null;null
501155;0;null;null
500040;0;null;null
578812;0;null;null
586476;0;null;null
560320;4;CIIB5 - Egregio Cliente Privato (BGD);45804
588741;0;null;null
596754;0;null;null
501140;0;null;null
601545;34;CIIB5 - DE KLOK BANDEN B.V;45804
501154;0;null;null
501155;0;null;null
609757;0;null;null
555025;2;BG2 - Impegno Cliente BG2 (Bologna Gomme2);45817
588015;0;null;null
605437;4;BG3 - Impegno Cliente BG3 (Bologna Gomme3);45818
596058;0;null;null
588851;0;null;null
574859;0;null;null
598983;0;null;null
568196;0;null;null
573831;0;null;null
575502;0;null;null
501277;0;null;null
582879;0;null;null
612192;0;null;null
553167;0;null;null
566118;0;null;null
574191;0;null;null
609408;0;null;null
616882;0;null;null
581901;0;null;null
555667;0;null;null
602268;0;null;null
589456;0;null;null
501174;0;null;null
607350;0;null;null
598190;0;null;null
552914;0;null;null
609469;0;null;null
600555;0;null;null
513313;0;null;null
515461;0;null;null
611774;0;null;null
596753;0;null;null
501038;0;null;null
501313;0;null;null
501362;0;null;null
610891;0;null;null
607512;0;null;null
598605;0;null;null
596944;0;null;null
584626;0;null;null
501174;0;null;null
571615;0;null;null
606861;0;null;null
576102;0;null;null
587455;0;null;null
518561;0;null;null
520452;0;null;null
501308;0;null;null
551403;0;null;null
520493;0;null;null
501155;0;null;null
611818;0;null;null
585178;0;null;null
599767;0;null;null
526217;0;null;null
501398;0;null;null
611777;0;null;null
551879;0;null;null
616872;0;null;null
513251;0;null;null
501154;0;null;null
571592;0;null;null
501257;0;null;null
597964;0;null;null
526332;0;null;null
501273;0;null;null
581322;0;null;null
576484;0;null;null
601431;0;null;null
602283;0;null;null
596511;0;null;null
576127;0;null;null
99906;0;null;null
574259;0;null;null
602408;0;null;null
518528;0;null;null
608876;0;null;null
501150;0;null;null
527485;0;null;null
606468;0;null;null
501382;0;null;null
501232;0;null;null
612696;0;null;null
526338;0;null;null
584510;0;null;null
617415;0;null;null
501343;0;null;null
603163;0;null;null
527938;0;null;null
597462;0;null;null
518603;0;null;null
617052;0;null;null
501163;0;null;null
66570;0;null;null
99905;0;null;null
552555;0;null;null
585391;0;null;null
584444;0;null;null
513077;0;null;null
520204;0;null;null
582880;0;null;null
566654;0;null;null
573818;0;null;null
599046;0;null;null
582176;0;null;null
617144;0;null;null
555803;0;null;null
599007;0;null;null
599023;0;null;null
585744;0;null;null
574645;0;null;null
587646;0;null;null
