IdTbl;Targa;Posizione;Id;SoloTarga;Qta;Elaborato;IdAbbinato;DepositiLiberi;TargaDoppia;NonElaborareTargaDoppia;Note;PosizioneMultipla;Chiusura;PDV
93;GG289XS-249572;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20579F;null
94;FK475FJ-249591;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057A0;null
95;GM030KV-228308;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057A1;null
96;FZ193HY-214251;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057A2;null
97;GJ438DL-247075;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057A3;null
98;GP764ZK-247069;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057A4;null
99;GV467FN-248178;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057A5;null
100;GE252PH-248232;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057A6;null
101;GL128ZX-250677;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057A7;null
102;GL434SP-250672;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057A8;null
103;GH928CN-247036;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057A9;null
104;EF971TE-246987;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057AA;null
105;FZ976RM-213387;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057AB;null
106;GK133ZE-228944;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057AC;null
107;BG1. FILA 4;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057AD;null
108;FR089JM-232587;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057AE;null
109;GT687SR-250711;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057AF;null
110;GR505YJ-250691;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057B0;null
111;GV361KK-250732;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057B1;null
112;GS102EB-250730;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057B2;null
113;GK976RJ-249190;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057B3;null
114;FR000GX-249214;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057B4;null
115;FY745CC-228810;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057B5;null
116;GS936TX-244633;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057B6;null
117;GG361XN-244376;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057B7;null
118;FZ562AV-231701;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057B8;null
119;FZ271JF-231677;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057B9;null
120;GJ358SK-244399;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057BA;null
121;GN709RD-250942;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057BB;null
122;GJ793WR;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057BC;null
123;GE242LS-213777;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057BD;null
124;GN925SB-243904;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057BE;null
125;GV122VW-247850;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057BF;null
126;GB240PK-214678;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057C0;null
127;GL204EX-248261;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057C1;null
128;FX990GL-248242;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057C2;null
129;GN498BM-234844;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057C3;null
130;GG997CR-244158;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057C4;null
131;GJ487AX-244161;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057C5;null
132;FK114SA-249276;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057C6;null
133;GV775VM-249569;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057C7;null
134;GJ513JM-249150;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057C8;null
135;GL382XG-244658;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057C9;null
136;GT670DE-243912;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057CA;null
137;GW160EG-244133;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057CB;null
138;FZ517WR-244130;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057CC;null
139;GM290PR-242222;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057CD;null
140;FV521VZ-242325;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057CE;null
141;GB161GY;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057CF;null
142;GV148PE-244634;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057D0;null
143;GF140HN-218941;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057D1;null
144;FY603FT-251309;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057D2;null
145;GK920DV-245225;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057D3;null
146;GD976NK-244643;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057D4;null
147;BG1. FILA 5;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057D5;null
148;GL919WG-248942;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057D6;null
149;GT307LW-248287;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057D7;null
150;GV150ZF-243865;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057D8;null
151;GK412RR-243862;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057D9;null
152;GE874FR-213766;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057DA;null
153;GK662LK-213780;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057DB;null
154;GC799ZS-228195;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057DC;null
155;GL105HY-249925;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057DD;null
156;GK872ZY-250745;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057DE;null
157;GM841KZ-250735;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057DF;null
158;GE131SR-244460;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057E0;null
159;GL612ZW-244457;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057E1;null
160;GM931TP-243860;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057E2;null
161;GS104LR-243927;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057E3;null
162;GN358FL-243827;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057E4;null
163;GS104LR-243927;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057E5;null
164;GJ646JJ-243929;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057E6;null
165;GS129JR-243884;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057E7;null
166;GM152XF-244407;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057E8;null
167;GT601EN-244419;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057E9;null
168;FX883ZF-228332;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057EA;null
169;GE301SS-249608;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057EB;null
170;GL049ZS-249144;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057EC;null
171;GV615NL-247557;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057ED;null
172;GD279NL-243898;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057EE;null
173;GD530TR-247349;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057EF;null
174;GT087ZT-243916;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057F0;null
175;GV063KX-247054;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057F1;null
176;GP948MP-247052;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057F2;null
177;GL470TK-244377;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057F3;null
178;GS062EH-244627;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057F4;null
179;GA858HS-244986;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057F5;null
180;GL441ZP-214317;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057F6;null
181;GK257RL-244622;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057F7;null
182;GW646SF-249210;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057F8;null
183;GR257SV-244610;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057F9;null
184;GT902DG;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057FA;null
185;BG1. FILA 6;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057FB;null
186;GP360ZS-250713;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057FC;null
187;GV918FM-250725;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057FD;null
188;GN840GY-249252;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057FE;null
189;GF259LC-245025;null;null;null;null;null;null;null;null;null;null;null;0x000000004E2057FF;null
190;GM130FE-234681;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205801;null
191;GV624HE-230251;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205802;null
192;GT640NZ-249133;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205803;null
193;GR184XG-249202;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205804;null
194;GG208JE-245558;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205805;null
195;GB186DN-245543;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205806;null
196;GP602KX-250126;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205807;null
197;FR295GV-244918;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205808;null
198;FF503MD-245033;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205809;null
199;GP543ZG-249603;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20580A;null
200;EC376SV-249160;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20580B;null
201;GM713KZ-247204;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20580C;null
202;FR963SF-212908;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20580D;null
203;GM895LC-250972;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20580E;null
204;GB309HD-215994;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20580F;null
205;GW001EL-249184;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205810;null
206;GT967AL-249217;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205811;null
207;GC688YT-242221;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205812;null
208;GF709VR-242218;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205813;null
209;GC814KC-242197;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205814;null
210;GG143SL-228745;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205815;null
211;GP859ZR-247802;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205816;null
212;GC780ZS-229325;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205817;null
213;GD766TF-251324;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205818;null
214;GF467ST-251386;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205819;null
215;EP404BJ-242343;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20581A;null
216;GT966MW-242323;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20581B;null
217;GB507JA-242241;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20581C;null
218;FN718MR-229014;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20581D;null
219;GV931FD-251067;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20581E;null
