Id_Articoli	Art_IdSchedaLavoro	Art_IdVeicolo	Art_IdArtico	Art_Codice	Art_Qta	Art_Misura	Art_Descrizione	Art_DOT	Art_Prezzo	Art_Fascia	Art_Marca	Art_CD_IdLotto	Art_PrezzoUnit	Art_LottoForzato	Art_Chiusura	Art_PrezzoRigaImp
639402	342207	89573	582260	AS30ECO087	1.00		AS30-ECO087 FILTRO CARBURANTE 		33,672	X	MECCANICA                               	null	27.60	null	0x00000000209D3E90	27.60
745537	371557	89573	583925	@MS_STAG_DEP	4.00		"Montaggio stagionale cerchio 18""/19"" (DEP)"		44,99	X	MANODOPERA                              	null	9.22	null	0x00000000209EA5F3	36.88
745538	371557	89573	564076	@7TPMS	4.00		Montaggio su Cerchio TPMS		5,03	X	MATERIALE CONSUMO VETTURA MOTO          	null	1.03	null	0x00000000209EA5F4	4.12
745554	371557	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE 		-72,02	X	Abbuoni Vettura                         	null	-59.03	null	0x00000000209EA602	-59.03
780923	382616	89573	576071	@SPESEVERS	1.00		 SPESE POSTALI VERSAMENTO		1,51	X	REVISIONE	null	1.24	null	0x00000000209F1EF3	1.24
971101	342207	89573	597945	@NOTETAGLIANDO	1.00		MANUTENZIONE TAGLIANDO		0	X	ACCESSORI  NON RIVENDUTI                	null	0.00	null	0x00000000278EA2CC	0.00
1072556	482195	89573	581903	@7REV100	1.00		REVISIONE AUTOVEICOLO		67,04	X	REVISIONE	null	54.95	null	0x00000000352D3CE7	54.95
1072557	482195	89573	501188	@7REV1	1.00		 VERSAMENTO REVISIONE MCTC		10,2	X	REVISIONE	null	10.20	null	0x00000000352D3CE8	10.20
1072558	482195	89573	576071	@SPESEVERS	1.00		 SPESE POSTALI VERSAMENTO		1,51	X	REVISIONE	null	1.24	null	0x00000000352D3CE9	1.24
1083127	485911	89573	589735	@7VALVTM	1.00		VALVOLA TBL MOTO		1	X	MATERIALE CONSUMO VETTURA MOTO          	null	0.82	null	0x00000000373F8A88	0.82
193424	292278	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE (4S)		-119,99	X	Abbuoni Vettura                         	null	-119.99	null	0x000000002096CD53	null
370689	292278	89573	583925	@MS_STAG_DEP	4.00	null	Ms Estive/Winter (Da Deposito)	null	0	X	MANODOPERA                              	null	0.00	null	0x0000000020995842	null
393076	292278	89573	518527	@7VALVR	4.00	null	Valvola Tubeless	null	0	X	MATERIALE CONSUMO VETTURA MOTO          	null	0.00	null	0x000000002099B009	null
434578	292278	89573	501121	@7ASV	1.00	null	Assetto Ruote	null	0	X	MANODOPERA                              	null	0.00	null	0x00000000209A52C5	null
670119	292278	89573	518528	@7MOZZI	1.00	null	Rigenerazione Mozzi	null	0	X	MANODOPERA                              	null	0.00	null	0x00000000209DA74D	0.00
974958	444666	171590	584502	2854022-PIR-3992900	2.00	2854022	285/40R22 110V XL (MO1) PIRELLI SCORPION WINTER	3622	1092,95	A 	PIRELLI                                 	NULL	447.93	NULL	0x000000002820226E	895.86
974959	444666	171590	584503	3253522-PIR-3993000	2.00	3253522	325/35R22 114V XL (MO1) PIRELLI SCORPION WINTER	3622	1200,97	A 	PIRELLI                                 	NULL	492.20	NULL	0x0000000028202274	984.40
975297	444666	171590	501137	@7EQUIVET	4.00		EQUILIBRATURA PNEUMATICO		29,28	X	MANODOPERA                              	NULL	6.00	NULL	0x00000000282022A0	24.00
